H00024 NP_003318.1 TNR4_HUMAN
H06142 NP_444260.1 MYLK_HUMAN
H06145 NP_001019831.2 KALRN_HUMAN
H06146 NP_003938.1 KALRN_HUMAN
H06147 NP_008995.2 KALRN_HUMAN
H06191 NP_116027.2 GATA2_HUMAN
H06192 NP_001139133.1 GATA2_HUMAN
H06193 NP_001139134.1 GATA2_HUMAN
H06196 NP_004628.4 RAB7A_HUMAN
H06197 NP_054768.2 ACAD9_HUMAN
H06200 NP_000165.1 GPIX_HUMAN
H06203 NP_003409.1 CNBP_HUMAN
H06204 NP_001120664.1 CNBP_HUMAN
H06205 NP_001120665.1 CNBP_HUMAN
H06206 NP_001120666.1 CNBP_HUMAN
H06208 NP_001120668.1 CNBP_HUMAN
H06214 NP_003916.1 MBD4_HUMAN
H06219 NP_000530.1 OPSD_HUMAN
H06224 NP_009048.1 TRH_HUMAN
H06229 NP_001001486.1 AT2C1_HUMAN
H06230 NP_001001487.1 AT2C1_HUMAN
H06231 NP_001001485.1 AT2C1_HUMAN
H06232 NP_055197.2 AT2C1_HUMAN
H06258 NP_001054.1 TRFE_HUMAN
H06279 NP_000523.2 PCCB_HUMAN
H06280 NP_001171485.1 PCCB_HUMAN
H06300 NP_001078518.1 RASM_HUMAN
H06301 NP_036351.3 RASM_HUMAN
H06310 NP_075555.1 FOXL2_HUMAN
H06315 NP_064576.1 RT22_HUMAN
H06329 NP_001073881.2 ZBT38_HUMAN
H06336 NP_001171610.1 TFDP2_HUMAN
H06337 NP_001171612.1 TFDP2_HUMAN
H06338 NP_001171609.1 TFDP2_HUMAN
H06339 NP_006277.1 TFDP2_HUMAN
H06340 NP_001171611.1 TFDP2_HUMAN
H06341 NP_001171613.1 TFDP2_HUMAN
H06357 NP_891988.1 PLOD2_HUMAN
H06358 NP_000926.2 PLOD2_HUMAN
H06370 NP_033611.1 AGTR1_HUMAN
H06371 NP_000676.1 AGTR1_HUMAN
H06382 NP_115759.2 HPS3_HUMAN
H06383 NP_000087.1 CERU_HUMAN
H06413 NP_073625.1 P2Y12_HUMAN
H06414 NP_795345.1 P2Y12_HUMAN
H06421 NP_066368.2 MBNL1_HUMAN
H06422 NP_997175.1 MBNL1_HUMAN
H06423 NP_997176.1 MBNL1_HUMAN
H06424 NP_997177.1 MBNL1_HUMAN
H06425 NP_997178.1 MBNL1_HUMAN
H06426 NP_997179.1 MBNL1_HUMAN
H06427 NP_997180.1 MBNL1_HUMAN
H06436 NP_009218.2 NEP_HUMAN
H06437 NP_000893.2 NEP_HUMAN
H06438 NP_009219.2 NEP_HUMAN
H06439 NP_009220.2 NEP_HUMAN
H06440 NP_001124432.1 PLCH1_HUMAN
H06441 NP_055811.1 PLCH1_HUMAN
H06442 NP_001124433.1 PLCH1_HUMAN
H06447 NP_003866.1 GUAA_HUMAN
H06452 NP_001171646.1 PARPT_HUMAN
H06453 NP_056323.2 PARPT_HUMAN
H06454 NP_001171647.1 PARPT_HUMAN
H06472 NP_071888.1 MLF1_HUMAN
H06473 NP_001123628.1 MLF1_HUMAN
H06474 NP_001123629.1 MLF1_HUMAN
H06475 NP_079272.4 EFGM_HUMAN
H06485 NP_000873.2 IL12A_HUMAN
H06507 NP_000046.1 CHLE_HUMAN
H06511 NP_009148.2 PDC10_HUMAN
H06512 NP_665858.1 PDC10_HUMAN
H06513 NP_665859.1 PDC10_HUMAN
H06517 NP_004982.2 EVI1_HUMAN
H06518 NP_001098547.3 EVI1_HUMAN
H06519 NP_005232.2 EVI1_HUMAN
H06520 NP_001098548.2 EVI1_HUMAN
H06521 NP_001157471.1 EVI1_HUMAN
H06522 NP_001157472.1 EVI1_HUMAN
H06524 NP_001172047.1 MYNN_HUMAN
H06525 NP_001172048.1 MYNN_HUMAN
H06526 NP_061127.1 MYNN_HUMAN
H06540 NP_005593.2 CLD11_HUMAN
H06559 NP_940799.1 GHSR_HUMAN
H06560 NP_004113.1 GHSR_HUMAN
H06577 NP_006209.2 PK3CA_HUMAN
H06600 NP_660304.1 TIM14_HUMAN
H06601 NP_001177162.1 TIM14_HUMAN
H06602 NP_003097.1 SOX2_HUMAN
H06605 NP_064551.3 MCCA_HUMAN
H06622 NP_003898.2 EI2BE_HUMAN
H06628 NP_001006942.1 ALG3_HUMAN
H06629 NP_005778.1 ALG3_HUMAN
H06637 NP_886553.3 IF4G1_HUMAN
H06640 NP_937884.1 IF4G1_HUMAN
H06642 NP_937885.1 IF4G1_HUMAN
H06643 NP_004944.3 IF4G1_HUMAN
H06646 NP_004357.3 CLCN2_HUMAN
H06647 NP_001164558.1 CLCN2_HUMAN
H06648 NP_001164559.1 CLCN2_HUMAN
H06649 NP_001164560.1 CLCN2_HUMAN
H06651 NP_001171068.1 TPO_HUMAN
H06652 NP_000451.1 TPO_HUMAN
H06666 NP_001007226.1 IF2B2_HUMAN
H06667 NP_006539.3 IF2B2_HUMAN
H06677 NP_001613.2 FETUA_HUMAN
H06679 NP_000403.1 HRG_HUMAN
H06680 NP_000884.1 KNG1_HUMAN
H06681 NP_001159923.1 KNG1_HUMAN
H06682 NP_001095886.1 KNG1_HUMAN
H06686 NP_001171271.1 ADIPO_HUMAN
H06687 NP_004788.1 ADIPO_HUMAN
H06688 NP_003023.1 SIAT1_HUMAN
H06689 NP_775323.1 SIAT1_HUMAN
H06690 NP_775324.1 SIAT1_HUMAN
H06699 NP_001124317.1 BCL6_HUMAN
H06700 NP_001128210.1 BCL6_HUMAN
H06701 NP_001697.2 BCL6_HUMAN
H06702 NP_005569.1 LPP_HUMAN
H06703 NP_001161143.1 LPP_HUMAN
H06706 NP_003713.3 P63_HUMAN
H06707 NP_001108450.1 P63_HUMAN
H06708 NP_001108451.1 P63_HUMAN
H06709 NP_001108452.1 P63_HUMAN
H06710 NP_001108453.1 P63_HUMAN
H06711 NP_001108454.1 P63_HUMAN
H06734 NP_115655.2 AT134_HUMAN
H06735 NP_056375.2 OPA1_HUMAN
H06743 NP_005515.1 HES1_HUMAN
H06759 NP_001638.1 APOD_HUMAN
H06802 NP_000987.2 RL35A_HUMAN
H06813 NP_000274.2 PDE6B_HUMAN
H06814 NP_001138763.1 PDE6B_HUMAN
H06815 NP_001138764.1 PDE6B_HUMAN
H06821 NP_005246.2 GAK_HUMAN
H06825 NP_000194.2 IDUA_HUMAN
H06838 NP_005873.2 MAEA_HUMAN
H06839 NP_001017405.1 MAEA_HUMAN
H06848 NP_006333.1 TACC3_HUMAN
H06849 NP_000133.1 FGFR3_HUMAN
H06850 NP_075254.1 FGFR3_HUMAN
H06851 NP_001156685.1 FGFR3_HUMAN
H06853 NP_001035889.1 NSD2_HUMAN
H06854 NP_579877.1 NSD2_HUMAN
H06855 NP_579878.1 NSD2_HUMAN
H06856 NP_579890.1 NSD2_HUMAN
H06857 NP_579889.1 NSD2_HUMAN
H06858 NP_015627.1 NSD2_HUMAN
H06879 NP_001139327.1 3BP2_HUMAN
H06880 NP_001139328.1 3BP2_HUMAN
H06881 NP_003014.3 3BP2_HUMAN
H06882 NP_001116153.1 3BP2_HUMAN
H06883 NP_001110.2 ADDA_HUMAN
H06884 NP_054908.2 ADDA_HUMAN
H06885 NP_054909.2 ADDA_HUMAN
H06886 NP_789771.1 ADDA_HUMAN
H06890 NP_892027.2 GRK4_HUMAN
H06891 NP_001004056.1 GRK4_HUMAN
H06892 NP_001004057.1 GRK4_HUMAN
H06893 NP_002102.4 HD_HUMAN
H06899 NP_775931.3 DOK7_HUMAN
H06900 NP_001158145.1 DOK7_HUMAN
H06901 NP_002328.1 AMRP_HUMAN
H06903 NP_000674.2 ADA2C_HUMAN
H06912 NP_002439.2 MSX1_HUMAN
H06916 NP_667338.3 LBN_HUMAN
H06917 NP_001159608.1 LBN_HUMAN
H06924 NP_005996.2 WFS1_HUMAN
H06925 NP_001139325.1 WFS1_HUMAN
H06985 NP_000789.1 DRD5_HUMAN
H07016 NP_001766.2 CD38_HUMAN
H07019 NP_006008.1 PROM1_HUMAN
H07020 NP_001139319.1 PROM1_HUMAN
H07021 NP_001139320.1 PROM1_HUMAN
H07022 NP_001139321.1 PROM1_HUMAN
H07023 NP_001139322.1 PROM1_HUMAN
H07024 NP_001139323.1 PROM1_HUMAN
H07025 NP_001139324.1 PROM1_HUMAN
H07029 NP_000311.2 DHPR_HUMAN
H07050 NP_037393.1 PRGC1_HUMAN
H07053 NP_003093.2 SODE_HUMAN
H07066 NP_976028.1 SUH_HUMAN
H07067 NP_005340.2 SUH_HUMAN
H07068 NP_056958.3 SUH_HUMAN
H07069 NP_976029.1 SUH_HUMAN
H07070 NP_000721.1 CCKAR_HUMAN
H07091 NP_112218.2 TLR10_HUMAN
H07092 NP_001017388.1 TLR10_HUMAN
H07093 NP_003254.2 TLR1_HUMAN
H07094 NP_006059.2 TLR6_HUMAN
H07102 NP_002904.3 RFC1_HUMAN
H07118 NP_004301.1 RHOH_HUMAN
H07130 NP_004172.2 UCHL1_HUMAN
H07136 NP_003915.2 PHX2B_HUMAN
H07149 NP_612208.1 GNPI2_HUMAN
H07150 NP_775807.2 GBRG1_HUMAN
H07151 NP_000798.2 GBRA2_HUMAN
H07152 NP_001107647.1 GBRA2_HUMAN
H07155 NP_000803.2 GBRB1_HUMAN
H07160 NP_001136036.1 CNGA1_HUMAN
H07161 NP_000078.2 CNGA1_HUMAN
H07168 NP_055845.1 FRYL_HUMAN
H07184 NP_000223.1 SGCB_HUMAN
H07191 NP_112179.2 FIP1_HUMAN
H07192 NP_001128409.1 FIP1_HUMAN
H07193 NP_001128410.1 FIP1_HUMAN
H07197 NP_036242.1 CHIC2_HUMAN
H07200 NP_001087241.1 KIT_HUMAN
H07201 NP_000213.1 KIT_HUMAN
H07202 NP_002244.1 VGFR2_HUMAN
H07206 NP_004889.1 CLOCK_HUMAN
H07208 NP_006672.1 NMU_HUMAN
H07229 NP_005603.3 REST_HUMAN
H07230 NP_001180437.1 REST_HUMAN
H07232 NP_000929.1 RPB2_HUMAN
H07233 NP_001544.1 IBP7_HUMAN
H07239 NP_001803.2 CENPC_HUMAN
H07242 NP_000397.1 GNRHR_HUMAN
H07243 NP_001012781.1 GNRHR_HUMAN
H07258 NP_001065.2 UD2B7_HUMAN
H07265 NP_005411.1 ST1E1_HUMAN
H07281 NP_689504.2 MUC7_HUMAN
H07282 NP_001138478.1 MUC7_HUMAN
H07283 NP_001138479.1 MUC7_HUMAN
H07295 NP_000779.1 DCK_HUMAN
H07297 NP_001091954.1 S4A4_HUMAN
H07298 NP_003750.1 S4A4_HUMAN
H07300 NP_004876.2 NPFF2_HUMAN
H07301 NP_001138228.1 NPFF2_HUMAN
H07302 NP_444264.1 NPFF2_HUMAN
H07307 NP_000468.1 ALBU_HUMAN
H07308 NP_001125.1 FETA_HUMAN
H07319 NP_002081.2 CXCL3_HUMAN
H07320 NP_002080.1 CXCL2_HUMAN
H07326 NP_001720.1 BTC_HUMAN
H07349 NP_005497.1 SCRB2_HUMAN
H07353 NP_065910.3 SHRM3_HUMAN
H07355 NP_060713.1 SEP11_HUMAN
H07364 NP_942595.1 BMP2K_HUMAN
H07365 NP_060063.2 BMP2K_HUMAN
H07369 NP_477520.2 ANTR2_HUMAN
H07370 NP_001139266.1 ANTR2_HUMAN
H07377 NP_006250.1 KGP2_HUMAN
H07379 NP_001003810.1 HNRPD_HUMAN
H07380 NP_112737.1 HNRPD_HUMAN
H07381 NP_002129.2 HNRPD_HUMAN
H07382 NP_112738.1 HNRPD_HUMAN
H07403 NP_001092010.1 HPSE_HUMAN
H07404 NP_001159970.1 HPSE_HUMAN
H07405 NP_006656.2 HPSE_HUMAN
H07413 NP_001020787.2 RHG24_HUMAN
H07414 NP_001036134.1 RHG24_HUMAN
H07415 NP_112595.2 RHG24_HUMAN
H07426 NP_001160165.1 AFF1_HUMAN
H07427 NP_005926.1 AFF1_HUMAN
H07437 NP_001073380.1 DMP1_HUMAN
H07438 NP_004398.1 DMP1_HUMAN
H07445 NP_000573.1 OSTP_HUMAN
H07446 NP_001035147.1 OSTP_HUMAN
H07447 NP_001035149.1 OSTP_HUMAN
H07448 NP_000288.1 PKD2_HUMAN
H07449 NP_004818.2 ABCG2_HUMAN
H07458 NP_055698.2 FA13A_HUMAN
H07459 NP_001015045.1 FA13A_HUMAN
H07463 NP_000336.1 SYUA_HUMAN
H07464 NP_009292.1 SYUA_HUMAN
H07465 NP_001139526.1 SYUA_HUMAN
H07466 NP_001139527.1 SYUA_HUMAN
H07468 NP_001138537.1 CCSE1_HUMAN
H07469 NP_997374.1 CCSE1_HUMAN
H07471 NP_001501.2 GRID2_HUMAN
H07479 NP_001011515.1 PDLI5_HUMAN
H07480 NP_001011516.1 PDLI5_HUMAN
H07497 NP_000661.2 ADH4_HUMAN
H07501 NP_000659.2 ADH1B_HUMAN
H07502 NP_000660.1 ADH1G_HUMAN
H07503 NP_000664.2 ADH7_HUMAN
H07504 NP_001159976.1 ADH7_HUMAN
H07509 NP_000244.2 MTP_HUMAN
H07521 NP_060405.4 BANK1_HUMAN
H07522 NP_001120979.2 BANK1_HUMAN
H07523 NP_001077376.2 BANK1_HUMAN
H07528 NP_003989.2 NFKB1_HUMAN
H07529 NP_001158884.1 NFKB1_HUMAN
H07530 NP_005899.3 MANBA_HUMAN
H07540 NP_001008389.1 CISD2_HUMAN
H07546 NP_001050.1 NK3R_HUMAN
H07548 NP_001120680.1 TET2_HUMAN
H07549 NP_060098.3 TET2_HUMAN
H07599 NP_110448.2 PG12A_HUMAN
H07605 NP_001954.2 EGF_HUMAN
H07606 NP_001171601.1 EGF_HUMAN
H07607 NP_001171602.1 EGF_HUMAN
H07611 NP_700475.1 PITX2_HUMAN
H07612 NP_700476.1 PITX2_HUMAN
H07613 NP_000316.2 PITX2_HUMAN
H07624 NP_001120965.1 ANK2_HUMAN
H07625 NP_001139.3 ANK2_HUMAN
H07626 NP_066187.2 ANK2_HUMAN
H07646 NP_057683.1 MYOZ2_HUMAN
H07650 NP_000125.2 FABPI_HUMAN
H07662 NP_001145.1 ANXA5_HUMAN
H07667 NP_789794.1 BBS7_HUMAN
H07668 NP_060660.2 BBS7_HUMAN
H07671 NP_056127.2 K1109_HUMAN
H07675 NP_000577.2 IL2_HUMAN
H07676 NP_068575.1 IL21_HUMAN
H07708 NP_061908.1 PCD18_HUMAN
H07709 NP_055146.1 XCT_HUMAN
H07737 NP_068605.1 UCP1_HUMAN
H07741 NP_000576.1 IL15_HUMAN
H07745 NP_115946.2 UBP38_HUMAN
H07746 NP_997006.1 GAB1_HUMAN
H07747 NP_002030.2 GAB1_HUMAN
H07760 NP_005891.1 SMAD1_HUMAN
H07761 NP_001003688.1 SMAD1_HUMAN
H07770 NP_001948.1 EDNRA_HUMAN
H07771 NP_001159527.1 EDNRA_HUMAN
H07775 NP_000892.2 MCR_HUMAN
H07776 NP_001159576.1 MCR_HUMAN
H07803 NP_003255.2 TLR2_HUMAN
H07812 NP_000499.1 FIBA_HUMAN
H07813 NP_068657.1 FIBA_HUMAN
H07814 NP_000500.2 FIBG_HUMAN
H07815 NP_068656.2 FIBG_HUMAN
H07816 NP_004735.2 LRAT_HUMAN
H07818 NP_000901.1 NPY2R_HUMAN
H07832 NP_000815.1 GLRB_HUMAN
H07833 NP_001159532.1 GLRB_HUMAN
H07834 NP_001159533.1 GLRB_HUMAN
H07844 NP_004444.2 ETFD_HUMAN
H07855 NP_006165.1 NPY5R_HUMAN
H07871 NP_036596.3 TLL1_HUMAN
H07877 NP_001159580.1 PALLD_HUMAN
H07878 NP_057165.3 PALLD_HUMAN
H07879 NP_001159581.1 PALLD_HUMAN
H07880 NP_001159582.1 PALLD_HUMAN
H07883 NP_036356.1 NEK1_HUMAN
H07921 NP_000018.2 ASPG_HUMAN
H07922 NP_001165459.1 ASPG_HUMAN
H07938 NP_002190.2 IRF2_HUMAN
H07945 NP_001142.2 ADT1_HUMAN
H07964 NP_003256.1 TLR3_HUMAN
H07969 NP_000119.1 FA11_HUMAN
H07989 NP_004159.2 SDHA_HUMAN
H07991 NP_065782.2 AHRR_HUMAN
H07995 NP_004165.2 SL9A3_HUMAN
H07996 NP_060610.2 CEP72_HUMAN
H08012 NP_937983.2 TERT_HUMAN
H08013 NP_001180305.1 TERT_HUMAN
H08014 NP_110409.2 CLP1L_HUMAN
H08015 NP_001035.1 SC6A3_HUMAN
H08019 NP_057442.1 IRX4_HUMAN
H08037 NP_076915.2 MTRR_HUMAN
H08038 NP_002445.2 MTRR_HUMAN
H08042 NP_036205.1 TCPE_HUMAN
H08047 NP_004385.1 DAP1_HUMAN
H08049 NP_001360.1 DYH5_HUMAN
H08053 NP_473368.1 ANKH_HUMAN
H08075 NP_006718.2 CAD10_HUMAN
H08088 NP_000899.1 ANPRC_HUMAN
H08095 NP_001161067.1 AMACR_HUMAN
H08096 NP_055139.4 AMACR_HUMAN
H08097 NP_976316.1 AMACR_HUMAN
H08117 NP_000940.1 PRLR_HUMAN
H08121 NP_002176.2 IL7RA_HUMAN
H08135 NP_004163.3 EAA1_HUMAN
H08136 NP_001160167.1 EAA1_HUMAN
H08138 NP_597677.2 NIPBL_HUMAN
H08139 NP_056199.2 NIPBL_HUMAN
H08144 NP_001177397.1 GDNF_HUMAN
H08145 NP_001177398.1 GDNF_HUMAN
H08146 NP_954701.1 GDNF_HUMAN
H08147 NP_000505.1 GDNF_HUMAN
H08152 NP_001121143.1 LIFR_HUMAN
H08153 NP_002301.1 LIFR_HUMAN
H08154 NP_003990.1 OSMR_HUMAN
H08155 NP_001161827.1 OSMR_HUMAN
H08160 NP_001334.2 DAB2_HUMAN
H08161 NP_000949.1 PE2R4_HUMAN
H08163 NP_996790.3 AAPK1_HUMAN
H08164 NP_006242.5 AAPK1_HUMAN
H08167 NP_000578.2 CO7_HUMAN
H08176 NP_000154.1 GHR_HUMAN
H08179 NP_001078955.1 SEPP1_HUMAN
H08180 NP_005401.3 SEPP1_HUMAN
H08194 NP_004456.1 FGF10_HUMAN
H08195 NP_057724.2 RT30_HUMAN
H08204 NP_002194.2 ITA2_HUMAN
H08209 NP_002486.1 NDUS4_HUMAN
H08211 NP_006299.1 HSPB3_HUMAN
H08235 NP_002175.2 IL6RB_HUMAN
H08236 NP_001177910.1 IL6RB_HUMAN
H08237 NP_786943.1 IL6RB_HUMAN
H08238 NP_078945.2 ANR55_HUMAN
H08240 NP_005912.1 M3K1_HUMAN
H08252 NP_001159371.1 PDE4D_HUMAN
H08253 NP_001098101.1 PDE4D_HUMAN
H08254 NP_006194.2 PDE4D_HUMAN
H08259 NP_000073.1 ERCC8_HUMAN
H08270 NP_000515.2 5HT1A_HUMAN
H08296 NP_852664.1 P85A_HUMAN
H08297 NP_852665.1 P85A_HUMAN
H08298 NP_852556.2 P85A_HUMAN
H08333 NP_075013.1 SMN_HUMAN
H08334 NP_075015.1 SMN_HUMAN
H08335 NP_059107.1 SMN_HUMAN
H08336 NP_075014.1 SMN_HUMAN
H08342 NP_075012.1 SMN_HUMAN
H08343 NP_000335.1 SMN_HUMAN
H08363 NP_694949.1 TM174_HUMAN
H08364 NP_004463.1 FOXD1_HUMAN
H08372 NP_000512.1 HEXB_HUMAN
H08385 NP_057302.1 POLK_HUMAN
H08392 NP_001983.2 PAR1_HUMAN
H08395 NP_001873.2 CRHBP_HUMAN
H08396 NP_060516.2 AGGF1_HUMAN
H08398 NP_003710.1 PDE8B_HUMAN
H08399 NP_001025022.1 PDE8B_HUMAN
H08400 NP_001025024.1 PDE8B_HUMAN
H08401 NP_001025025.1 PDE8B_HUMAN
H08402 NP_001025023.1 PDE8B_HUMAN
H08406 NP_003655.3 AP3B1_HUMAN
H08409 NP_000037.2 ARSB_HUMAN
H08410 NP_942002.1 ARSB_HUMAN
H08415 NP_001704.2 BHMT1_HUMAN
H08417 NP_004263.1 HOME1_HUMAN
H08424 NP_003239.2 TSP4_HUMAN
H08433 NP_000782.1 DYR_HUMAN
H08435 NP_002430.3 MSH3_HUMAN
H08444 NP_036578.2 SSBP2_HUMAN
H08450 NP_071801.1 XRCC4_HUMAN
H08451 NP_003392.1 XRCC4_HUMAN
H08452 NP_072044.1 XRCC4_HUMAN
H08458 NP_005702.3 EDIL3_HUMAN
H08460 NP_002881.1 RASA1_HUMAN
H08461 NP_072179.1 RASA1_HUMAN
H08464 NP_002388.2 MEF2C_HUMAN
H08465 NP_001124477.1 MEF2C_HUMAN
H08466 NP_001180276.1 MEF2C_HUMAN
H08467 NP_001180277.1 MEF2C_HUMAN
H08468 NP_001180278.1 MEF2C_HUMAN
H08469 NP_001180279.1 MEF2C_HUMAN
H08494 NP_055714.3 RHBT3_HUMAN
H08495 NP_002055.1 GLRX1_HUMAN
H08496 NP_001112362.1 GLRX1_HUMAN
H08498 NP_000430.3 NEC1_HUMAN
H08499 NP_001171346.1 NEC1_HUMAN
H08501 NP_001035905.1 ICAL_HUMAN
H08502 NP_775083.1 ICAL_HUMAN
H08503 NP_001177371.1 ICAL_HUMAN
H08504 NP_057526.3 ERAP1_HUMAN
H08505 NP_001035548.1 ERAP1_HUMAN
H08517 NP_005659.1 SIA8D_HUMAN
H08518 NP_778222.1 SIA8D_HUMAN
H08528 NP_149988.1 CE030_HUMAN
H08530 NP_001953.1 EFNA5_HUMAN
H08536 NP_620128.1 S2546_HUMAN
H08537 NP_149024.1 TSLP_HUMAN
H08538 NP_644810.1 WDR36_HUMAN
H08539 NP_001735.1 KCC4_HUMAN
H08553 NP_000029.2 APC_HUMAN
H08554 NP_001120982.1 APC_HUMAN
H08557 NP_005660.4 REEP5_HUMAN
H08562 NP_073739.3 YTDC2_HUMAN
H08563 NP_067627.2 KCNN2_HUMAN
H08564 NP_740721.1 KCNN2_HUMAN
H08565 NP_061170.2 TRI36_HUMAN
H08566 NP_001017397.1 TRI36_HUMAN
H08567 NP_001017398.1 TRI36_HUMAN
H08587 NP_000405.1 DHB4_HUMAN
H08593 NP_002308.2 LYOX_HUMAN
H08597 NP_005451.2 SNCAP_HUMAN
H08614 NP_001173.2 AL7A1_HUMAN
H08626 NP_001990.2 FBN2_HUMAN
H08635 NP_064625.1 C42S2_HUMAN
H08636 NP_001033791.1 C42S2_HUMAN
H08647 NP_056071.2 ACSL6_HUMAN
H08648 NP_001009185.1 ACSL6_HUMAN
H08649 NP_000579.2 IL3_HUMAN
H08650 NP_000749.2 CSF2_HUMAN
H08658 NP_003050.2 S22A4_HUMAN
H08659 NP_003051.1 S22A5_HUMAN
H08661 NP_002189.1 IRF1_HUMAN
H08662 NP_000870.1 IL5_HUMAN
H08663 NP_005723.2 RAD50_HUMAN
H08664 NP_002179.2 IL13_HUMAN
H08665 NP_000580.1 IL4_HUMAN
H08666 NP_758858.1 IL4_HUMAN
H08667 NP_008985.3 KIF3A_HUMAN
H08676 NP_005251.1 GDF9_HUMAN
H08679 NP_055238.1 AFF4_HUMAN
H08683 NP_002145.3 HSP74_HUMAN
H08700 NP_001028675.1 SAR1B_HUMAN
H08701 NP_057187.1 SAR1B_HUMAN
H08710 NP_002644.4 PITX1_HUMAN
H08711 NP_004884.1 H2AY_HUMAN
H08712 NP_613075.1 H2AY_HUMAN
H08713 NP_613258.2 H2AY_HUMAN
H08714 NP_001035248.1 H2AY_HUMAN
H08717 NP_006152.2 NGN1_HUMAN
H08723 NP_000349.1 BGH3_HUMAN
H08733 NP_006781.1 MYOTI_HUMAN
H08734 NP_001129412.1 MYOTI_HUMAN
H08756 NP_001894.2 CTNA1_HUMAN
H08758 NP_001032722.1 SIL1_HUMAN
H08759 NP_071909.1 SIL1_HUMAN
H08760 NP_001181885.1 MATR3_HUMAN
H08761 NP_061322.2 MATR3_HUMAN
H08762 NP_954659.1 MATR3_HUMAN
H08763 NP_001181883.1 MATR3_HUMAN
H08764 NP_001181884.1 MATR3_HUMAN
H08802 NP_000582.1 CD14_HUMAN
H08803 NP_001035110.1 CD14_HUMAN
H08804 NP_001167575.1 CD14_HUMAN
H08805 NP_001167576.1 CD14_HUMAN
H08912 NP_005210.3 DIAP1_HUMAN
H08913 NP_001073280.1 DIAP1_HUMAN
H08930 NP_085048.1 NFIP1_HUMAN
H08931 NP_112226.2 SPY4_HUMAN
H08932 NP_001120968.1 SPY4_HUMAN
H08939 NP_001129080.1 RHG26_HUMAN
H08940 NP_055886.1 RHG26_HUMAN
H08941 NP_001018661.1 GCR_HUMAN
H08942 NP_000167.1 GCR_HUMAN
H08943 NP_001018084.1 GCR_HUMAN
H08944 NP_001018085.1 GCR_HUMAN
H08945 NP_001018086.1 GCR_HUMAN
H08946 NP_001018087.1 GCR_HUMAN
H08947 NP_001019265.1 GCR_HUMAN
H08964 NP_858062.1 2ABB_HUMAN
H08965 NP_858063.1 2ABB_HUMAN
H08970 NP_858064.1 2ABB_HUMAN
H08976 NP_473364.1 SG3A2_HUMAN
H08978 NP_001121170.1 ISK5_HUMAN
H08979 NP_006837.2 ISK5_HUMAN
H08980 NP_001121171.1 ISK5_HUMAN
H08988 NP_001035259.1 5HT4R_HUMAN
H08989 NP_955525.1 5HT4R_HUMAN
H08990 NP_001035262.2 5HT4R_HUMAN
H08991 NP_000861.1 5HT4R_HUMAN
H08992 NP_001035263.1 5HT4R_HUMAN
H08993 NP_000015.1 ADRB2_HUMAN
H09001 NP_001883.4 KC1A_HUMAN
H09002 NP_001020276.1 KC1A_HUMAN
H09004 NP_573570.3 PRGC2_HUMAN
H09005 NP_001166169.1 PRGC2_HUMAN
H09006 NP_001166170.1 PRGC2_HUMAN
H09007 NP_000431.2 PDE6A_HUMAN
H09012 NP_002600.1 PGFRB_HUMAN
H09018 NP_000347.2 TCOF_HUMAN
H09019 NP_001128715.1 TCOF_HUMAN
H09020 NP_001128716.1 TCOF_HUMAN
H09021 NP_001128717.1 TCOF_HUMAN
H09022 NP_001008657.1 TCOF_HUMAN
H09023 NP_004346.1 HG2A_HUMAN
H09024 NP_001020330.1 HG2A_HUMAN
H09025 NP_001020329.1 HG2A_HUMAN
H09040 NP_116565.3 SMIM3_HUMAN
H09045 NP_002075.2 GPX3_HUMAN
H09046 NP_006049.3 TNIP1_HUMAN
H09051 NP_000396.2 SAP3_HUMAN
H09057 NP_003109.1 SPRC_HUMAN
H09061 NP_000162.2 GLRA1_HUMAN
H09062 NP_001139512.1 GLRA1_HUMAN
H09064 NP_000818.2 GRIA1_HUMAN
H09065 NP_001107655.1 GRIA1_HUMAN
H09082 NP_000328.2 SGCD_HUMAN
H09083 NP_758447.1 SGCD_HUMAN
H09084 NP_001121681.1 SGCD_HUMAN
H09087 NP_036338.2 HAVR1_HUMAN
H09088 NP_001092884.1 HAVR1_HUMAN
H09089 NP_001166864.1 HAVR1_HUMAN
H09094 NP_005537.3 ITK_HUMAN
H09109 NP_076870.1 COE1_HUMAN
H09111 NP_659486.2 UBCP1_HUMAN
H09112 NP_002178.2 IL12B_HUMAN
H09113 NP_000670.1 ADA1B_HUMAN
H09126 NP_000804.1 GBRB2_HUMAN
H09127 NP_068711.1 GBRB2_HUMAN
H09128 NP_000802.2 GBRA6_HUMAN
H09129 NP_000797.2 GBRA1_HUMAN
H09130 NP_001121115.1 GBRA1_HUMAN
H09131 NP_001121116.1 GBRA1_HUMAN
H09132 NP_001121117.1 GBRA1_HUMAN
H09135 NP_001121120.1 GBRA1_HUMAN
H09136 NP_944494.1 GBRG2_HUMAN
H09137 NP_000807.2 GBRG2_HUMAN
H09138 NP_944493.2 GBRG2_HUMAN
H09154 NP_003053.1 SLIT3_HUMAN
H09169 NP_002511.1 NPM_HUMAN
H09170 NP_954654.1 NPM_HUMAN
H09171 NP_001032827.1 NPM_HUMAN
H09177 NP_005981.3 STK10_HUMAN
H09194 NP_004378.1 NKX25_HUMAN
H09195 NP_001159648.1 NKX25_HUMAN
H09196 NP_001159647.1 NKX25_HUMAN
